week,location_key,new_confirmed,new_deceased,new_hospitalized_patients,new_persons_fully_vaccinated,life_expectancy,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,country_name
2020-07-13/2020-07-19,DE,990.0,28.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-07-13/2020-07-19,ES,7018.0,0.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-07-13/2020-07-19,IT,798.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-07-13/2020-07-19,US,355811.0,4639.0,544.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-07-20/2020-07-26,DE,1291.0,27.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-07-20/2020-07-26,ES,6878.0,0.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-07-20/2020-07-26,IT,811.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-07-20/2020-07-26,US,341394.0,5448.0,439.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-07-27/2020-08-02,DE,1585.0,30.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-07-27/2020-08-02,ES,7200.0,0.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-07-27/2020-08-02,IT,942.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-07-27/2020-08-02,US,316178.0,7102.0,453.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-08-03/2020-08-09,DE,2130.0,31.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-08-03/2020-08-09,ES,9027.0,4.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-08-03/2020-08-09,IT,1102.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-08-03/2020-08-09,US,263553.0,5159.0,430.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-08-10/2020-08-16,DE,2746.0,26.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-08-10/2020-08-16,ES,14690.0,4.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-08-10/2020-08-16,IT,1591.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-08-10/2020-08-16,US,256347.0,5962.0,424.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-08-17/2020-08-23,DE,2977.0,27.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-08-17/2020-08-23,ES,23174.0,6.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-08-17/2020-08-23,IT,2960.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-08-17/2020-08-23,US,194701.0,5183.0,417.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-08-24/2020-08-30,DE,2861.0,15.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-08-24/2020-08-30,ES,30825.0,12.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-08-24/2020-08-30,IT,4907.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-08-24/2020-08-30,US,185094.0,4687.0,390.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-08-31/2020-09-06,DE,2977.0,33.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-08-31/2020-09-06,ES,35707.0,26.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
